emp_no,first_name,last_name,birthdate,gender,hire_date,dept_no,dept_name
10001,Georgi,Facello,1953-09-02,M,1986-06-26,d005,Development
10004,Chirstian,Koblick,1954-05-01,M,1986-12-01,d004,Production
10009,Sumant,Peac,1952-04-19,F,1985-02-18,d006,Quality Management
10018,Kazuhide,Peha,1954-06-19,F,1987-04-03,d004,Production
10018,Kazuhide,Peha,1954-06-19,F,1987-04-03,d005,Development
10035,Alain,Chappelet,1953-02-08,M,1988-09-05,d004,Production
10053,Sanjiv,Zschoche,1954-09-13,F,1986-02-04,d007,Sales
10058,Berhard,McFarlin,1954-10-01,M,1987-04-13,d001,Marketing
10066,Kwee,Schusler,1952-11-13,M,1986-02-26,d005,Development
10067,Claudi,Stavenow,1953-01-07,M,1987-03-04,d006,Quality Management
10070,Reuven,Garigliano,1955-08-20,M,1985-10-14,d005,Development
10070,Reuven,Garigliano,1955-08-20,M,1985-10-14,d008,Research
10072,Hironoby,Sidou,1952-05-15,F,1988-07-21,d005,Development
10076,Erez,Ritzmann,1952-06-13,F,1985-07-09,d005,Development
10088,Jungsoon,Syrzycki,1954-02-25,F,1988-09-02,d007,Sales
10088,Jungsoon,Syrzycki,1954-02-25,F,1988-09-02,d009,Customer Service
10100,Hironobu,Haraldson,1953-04-21,F,1987-09-21,d003,Human Resources
10103,Akemi,Birch,1953-11-26,M,1986-12-02,d005,Development
10126,Kayoko,Valtorta,1954-08-07,M,1985-09-08,d009,Customer Service
10129,Armond,Peir,1955-12-02,M,1985-12-10,d005,Development
10130,Nishit,Casperson,1955-04-27,M,1988-06-21,d004,Production
10134,Diederik,Siprelle,1953-04-15,M,1987-12-12,d004,Production
10134,Diederik,Siprelle,1953-04-15,M,1987-12-12,d005,Development
10138,Perry,Shimshoni,1955-04-24,M,1986-09-18,d006,Quality Management
10150,Zhenbing,Perng,1955-01-29,F,1986-11-16,d005,Development
10153,Heekeun,Majewski,1955-12-15,M,1987-04-08,d005,Development
10157,Nigel,Aloisi,1954-04-23,M,1985-11-02,d005,Development
10198,Pranav,Furedi,1953-05-28,M,1985-08-31,d005,Development
10215,Xiaobin,Duclos,1954-04-02,M,1987-10-19,d007,Sales
10224,Leon,Trogemann,1954-05-17,M,1988-01-09,d004,Production
10233,Lein,Vendrig,1954-04-01,F,1985-07-05,d003,Human Resources
10258,Basil,Ishibashi,1955-12-12,F,1985-05-17,d005,Development
10272,Yishai,Cannane,1954-11-30,M,1988-05-23,d002,Finance
10282,Hercules,Benzmuller,1953-11-27,M,1986-06-04,d004,Production
10283,Kauko,Birjandi,1953-07-08,M,1988-05-25,d005,Development
10326,Masali,Czap,1953-02-13,F,1985-05-13,d008,Research
10340,Djelloul,Laventhal,1952-08-20,M,1987-06-05,d001,Marketing
10347,Pradeep,Kaminger,1953-10-03,M,1985-12-12,d008,Research
10355,Satyanarayana,Cochrane,1952-12-10,M,1987-11-15,d007,Sales
