emp_no,first_name,last_name,title,dept_name
10002,Bezalel,Simmel,Staff,Sales
10010,Duangkaew,Piveteau,Engineer,Quality Management
10013,Eberhardt,Terkki,Senior Staff,Human Resources
10016,Kazuhito,Cappelletti,Staff,Sales
10027,Divier,Reistad,Senior Engineer,Development
10037,Pradeep,Makrucki,Senior Engineer,Development
10044,Mingsen,Casley,Technique Leader,Production
10049,Basil,Tramer,Senior Staff,Customer Service
10052,Heping,Nitsch,Senior Staff,Research
10056,Brendon,Bernini,Senior Engineer,Development
10060,Breannda,Billingsley,Senior Staff,Customer Service
10061,Tse,Herber,Senior Staff,Sales
10062,Anoosh,Peyn,Senior Engineer,Development
10065,Satosi,Awdeh,Engineer,Development
10068,Charlene,Brattka,Senior Staff,Sales
10077,Mona,Azuma,Staff,Human Resources
10079,Kshitij,Gils,Technique Leader,Development
10085,Kenroku,Malabarba,Senior Engineer,Production
10086,Somnath,Foote,Senior Staff,Human Resources
10089,Sudharsan,Flasterstein,Senior Staff,Sales
10092,Valdiodio,Niizuma,Engineer,Development
10093,Sailaja,Desikan,Staff,Sales
10095,Hilari,Morton,Senior Staff,Sales
10104,Xinyu,Warwick,Senior Staff,Research
10111,Hugo,Rosis,Senior Engineer,Quality Management
10112,Yuichiro,Swick,Staff,Customer Service
10113,Jaewon,Syrzycki,Engineer,Production
10117,Kiyotoshi,Blokdijk,Senior Engineer,Production
10121,Guoxiang,Ramsay,Senior Engineer,Development
10122,Ohad,Esposito,Technique Leader,Development
10123,Hinrich,Randi,Engineer,Production
10124,Geraldo,Marwedel,Senior Engineer,Quality Management
10133,Giri,Isaak,Senior Engineer,Production
10139,Ewing,Foong,Engineer,Development
10143,Sakthirel,Bakhtari,Senior Engineer,Development
10147,Kazuhito,Encarnacion,Senior Staff,Finance
10156,Sumali,Fargier,Senior Engineer,Quality Management
10168,Dharmaraja,Stassinopoulos,Senior Staff,Research
10169,Sampalli,Snedden,Engineer,Development
10173,Shrikanth,Mahmud,Senior Staff,Finance
10178,Valery,Litvinov,Staff,Sales
10179,Deniz,Duclos,Engineer,Development
10181,Sibyl,Nooteboom,Senior Engineer,Development
10182,Moriyoshi,Merey,Senior Engineer,Research
10187,Tommaso,Narwekar,Senior Staff,Finance
10190,Arve,Fairtlough,Senior Engineer,Production
10197,Kasidit,Krzyzanowski,Senior Engineer,Development
10200,Vidya,Awdeh,Senior Engineer,Quality Management
10211,Vishu,Strehl,Senior Engineer,Development
10213,Jackson,Kakkad,Staff,Customer Service
10214,Tadahiko,Ciolek,Senior Staff,Sales
10222,Tze,Nourani,Engineer,Production
10223,Carrsten,Schmiedel,Engineer,Development
10226,Xinglin,Plessier,Staff,Sales
10231,Shaowen,Desikan,Staff,Customer Service
10238,Mototsugu,Gire,Engineer,Research
10242,Lunjin,Ozeri,Senior Engineer,Production
10244,Foong,Flasterstein,Engineer,Development
10246,Basem,Teitelbaum,Senior Engineer,Production
10247,Heon,Riefers,Senior Engineer,Production
10252,Shirish,Wegerle,Senior Engineer,Production
10260,Alper,Suomi,Senior Engineer,Production
10263,Takahiro,Waterhouse,Staff,Finance
10270,Bedir,Hartvigsen,Senior Staff,Sales
10271,Sham,Eastman,Senior Engineer,Development
10273,Baocai,Lieblein,Senior Staff,Sales
10275,Marek,Luck,Senior Engineer,Development
10277,Isaac,Schwartzbauer,Senior Staff,Sales
10279,Barton,Jumpertz,Engineer,Customer Service
10280,Stabislas,Delgrange,Staff,Human Resources
10287,Marie,Pietracaprina,Senior Staff,Development
10291,Dipayan,Seghrouchni,Senior Staff,Sales
10292,Yucel,Ghelli,Senior Staff,Sales
10296,Petter,Lorho,Senior Staff,Sales
10301,Lucien,Staudhammer,Senior Staff,Finance
10308,Dzung,Holburn,Senior Staff,Sales
10309,Prodip,Schusler,Assistant Engineer,Development
10313,Subbu,Riexinger,Staff,Research
10314,Christfried,Apsitis,Senior Staff,Sales
10319,Mechthild,Miyakawa,Senior Staff,Sales
10331,Arto,Binkley,Senior Staff,Sales
10335,Toshimori,Bahi,Senior Staff,Customer Service
10336,Goa,Rothe,Staff,Research
10338,Heon,Ranai,Staff,Customer Service
10351,Tadahiko,Strehl,Staff,Finance
10357,Hausi,Sidhu,Senior Engineer,Quality Management
10361,Seshu,Sidou,Senior Staff,Sales
10378,Takahira,Lichtner,Senior Staff,Sales
10381,Jiong,Parfitt,Engineer,Production
10383,Leucio,Aumann,Senior Engineer,Production
10392,Jiann,Hainaut,Senior Engineer,Quality Management
10400,Ortrud,Nitto,Senior Staff,Sales
10408,Martijn,Kaiser,Staff,Sales
10417,Bingning,Bakhtari,Staff,Sales
10431,Patricio,Bugrara,Senior Staff,Sales
10436,Yahiko,Lammel,Senior Staff,Human Resources
10438,Evgueni,Srimani,Engineer,Production
10448,Phule,Oxenboll,Senior Staff,Sales
10454,Wonhee,Badr,Senior Staff,Sales
10455,Sverrir,Streng,Senior Staff,Sales
10456,Stepehn,Hardjono,Staff,Finance
10457,Oddvar,Schlenzig,Senior Engineer,Quality Management
10458,Gina,Engelmann,Senior Staff,Sales
10464,Mang,Maginnis,Senior Staff,Human Resources
10465,Claudi,Shackel,Senior Staff,Customer Service
10469,Munehiko,Ananiadou,Senior Engineer,Research
10471,Jouko,Yamaashi,Senior Engineer,Quality Management
10473,Przemyslawa,Oskamp,Engineer,Production
10474,Kenton,Garnham,Senior Engineer,Production
10476,Kokou,Iisaka,Senior Staff,Research
10482,Goa,Pleszkun,Engineer,Development
10484,Nirmal,Varley,Senior Staff,Human Resources
10485,Teruyuki,Sundgren,Engineer,Development
10490,Huiqun,Vuskovic,Senior Staff,Sales
10491,Garnik,Narahari,Senior Staff,Marketing
10493,Maris,Haraldson,Senior Staff,Sales
10495,Anyuan,Zhiwei,Technique Leader,Production
10498,Valter,Cappelletti,Engineer,Production
10501,Susuma,Larfeldt,Senior Engineer,Development
10507,Kasidit,Belinskaya,Senior Staff,Human Resources
10508,Kotesh,Liedekerke,Senior Engineer,Production
10511,Khoa,Marrevee,Engineer,Production
10518,Marin,Lanphier,Technique Leader,Development
10520,Jenwei,Ecklund,Senior Engineer,Production
10526,Kwangho,Theuretzbacher,Senior Engineer,Production
10527,Tetsushi,Barvinok,Technique Leader,Development
10528,Koichi,Lakshmanan,Senior Engineer,Development
10533,Mohamadou,Smailagic,Senior Staff,Sales
10535,Shalesh,Stroustrup,Senior Staff,Customer Service
10536,Yechiam,Sambasivam,Senior Staff,Sales
10537,Stella,Benzmuller,Senior Staff,Sales
10540,Martins,Barriga,Senior Engineer,Production
10543,Lein,Lichtman,Staff,Finance
10544,Ishfaq,Krzyzanowski,Senior Staff,Research
10545,Hauke,dAstous,Senior Engineer,Production
10551,Jeong,Rijsenbrij,Senior Engineer,Quality Management
10553,Rajmohan,Wallrath,Senior Engineer,Development
10556,JoAnna,Taubman,Senior Staff,Finance
10558,Hisao,Famili,Senior Engineer,Production
10562,Shuky,Pearson,Senior Engineer,Development
10565,Yishay,Harnett,Senior Engineer,Production
10569,Sreenivas,Bashian,Senior Staff,Research
10571,Fun,Varman,Senior Engineer,Development
10573,Tetsushi,Speel,Staff,Sales
10584,Mana,Papastamatiou,Senior Engineer,Development
10585,Sajjad,Willoner,Senior Engineer,Research
10587,Behnaam,Srimani,Senior Engineer,Development
10590,Yongqiao,Kalloufi,Senior Staff,Research
10592,Almudena,Alvarado,Staff,Sales
10595,Giri,Undy,Senior Engineer,Production
10597,Lucien,Schaad,Senior Staff,Sales
10600,Emran,Rettelbach,Senior Staff,Sales
10606,Toshiki,Marakhovsky,Senior Engineer,Development
10607,Rosalyn,Hambrick,Engineer,Development
10611,Karsten,Blokdijk,Senior Engineer,Development
10618,Ranga,Yeung,Engineer,Production
10619,Vivian,Kusakabe,Senior Staff,Sales
10621,Hinrich,Siepmann,Senior Engineer,Development
10627,Shigeu,Itzfeldt,Senior Staff,Human Resources
10648,Marlo,Ratnaker,Senior Engineer,Development
10656,Sanjay,Litzkow,Senior Engineer,Production
10663,Teunis,Noriega,Technique Leader,Production
10664,Xumin,Peck,Senior Engineer,Production
10666,Zhonghua,Reeker,Senior Staff,Finance
10670,Shunichi,McAffer,Senior Staff,Sales
10674,Abdelaziz,Bisiani,Engineer,Development
10677,Alejandra,Perng,Engineer,Development
10681,Florina,Garnier,Staff,Marketing
10686,Avishai,Azadmanesh,Senior Engineer,Development
10687,Leon,Kaiser,Senior Staff,Research
10688,Xiaopeng,Lanphier,Senior Staff,Finance
10690,Matt,Jumpertz,Senior Engineer,Production
10695,Zorica,Acton,Engineer,Production
10699,Hatim,Deverell,Senior Engineer,Quality Management
10701,Hyuncheol,Zolotykh,Senior Staff,Customer Service
10705,Hironobu,Wynblatt,Senior Staff,Sales
10709,Jiafu,Mateescu,Senior Engineer,Research
10710,Sorina,Kermarrec,Senior Staff,Sales
10711,Arvind,DuBourdieux,Senior Engineer,Development
10716,Aiman,Constantine,Senior Engineer,Development
10721,Bernd,Redmiles,Staff,Customer Service
10723,Eckart,Harnett,Technique Leader,Production
10729,Percy,Lorho,Senior Engineer,Production
10732,Morris,Andreotta,Senior Engineer,Production
10733,Sangeeta,Rodham,Senior Staff,Customer Service
10735,Morrie,Gewali,Senior Staff,Customer Service
10736,Gurbir,Hellwagner,Senior Engineer,Quality Management
10738,Rosita,Oppitz,Technique Leader,Research
10739,Gor,Iacovou,Engineer,Development
10743,Kiyomitsu,Peltason,Staff,Finance
10748,Yuchang,Francisci,Senior Staff,Human Resources
10752,Byong,Conde,Senior Engineer,Quality Management
10758,Fumiyo,Boyle,Engineer,Production
10760,Phillip,Dratva,Senior Staff,Finance
10762,Lech,Himler,Senior Staff,Research
10763,Giap,Bolsens,Senior Engineer,Production
10766,Nathalie,Standera,Staff,Human Resources
10769,Vishv,Bouloucos,Technique Leader,Development
10779,Mori,Yavatkar,Senior Staff,Customer Service
10783,Moty,Kenevan,Senior Staff,Human Resources
10785,Keiichiro,Marzano,Senior Engineer,Quality Management
10786,Patricia,dAstous,Senior Engineer,Quality Management
10788,Frazer,Ullian,Staff,Sales
10789,Aruna,Journel,Staff,Customer Service
10790,Yurij,Schonegge,Engineer,Production
10794,Teunis,Berztiss,Senior Staff,Research
10798,Elliott,Bednarek,Senior Engineer,Production
10800,Yuchang,Matzke,Senior Engineer,Production
10804,Terresa,Benantar,Staff,Sales
10807,Munehiro,Zallocco,Senior Staff,Sales
10809,Shim,Feldhoffer,Senior Engineer,Development
10832,Hidde,Bergere,Senior Staff,Sales
10839,Gurbir,Katiyar,Assistant Engineer,Production
10840,Mohammad,Koshino,Senior Engineer,Production
10841,Pranav,Lieberherr,Senior Staff,Customer Service
10843,Honesty,Smeets,Senior Engineer,Development
10853,Yoshinari,Kalloufi,Technique Leader,Quality Management
10859,King,Bernini,Staff,Marketing
10860,Gino,Werthner,Technique Leader,Quality Management
10863,Byong,Bhattacharjee,Senior Engineer,Production
10877,Subir,Biron,Senior Staff,Marketing
10880,Weiye,Nitsche,Senior Engineer,Production
10886,Sushant,Begiun,Senior Engineer,Development
10890,Ramzi,Furudate,Senior Staff,Sales
10891,Susanne,Jiang,Engineer,Development
10896,Adil,Taubenfeld,Engineer,Production
10898,Munenori,Markovitch,Senior Engineer,Production
10899,Valery,Rousseau,Senior Staff,Marketing
